gene,transcripts,chromosome,position,strand,annotation source
ABCC8,"ENST00000302539.4,ENST00000389817.3",chr11,17498419,-,GENCODE
ABCC9,ENST00000261200.4,chr12,22089607,-,GENCODE
ABCD1,ENST00000218104.3,chrX,152990322,+,GENCODE
ABCD2,ENST00000308666.3,chr12,40013552,-,GENCODE
ABCD3,ENST00000370214.4,chr1,94884010,+,GENCODE
ABCD4,ENST00000356924.4,chr14,74769758,-,GENCODE
ABCE1,ENST00000296577.4,chr4,146019083,+,GENCODE
ABCF1,"ENST00000326195.8,ENST00000376545.3",chr6,30539160,+,GENCODE
ABCF2,ENST00000287844.2,chr7,150924315,-,GENCODE
ABCF3,ENST00000429586.2,chr3,183903810,+,GENCODE
ABCG1,ENST00000398449.3,chr21,43639227,+,GENCODE
ABCG2,ENST00000237612.3,chr4,89080063,-,GENCODE
ABCG4,ENST00000307417.3,chr11,119019721,+,GENCODE
ABCG5,ENST00000260645.1,chr2,44065957,-,GENCODE
ABCG8,ENST00000272286.2,chr2,44066102,+,GENCODE
ABHD1,ENST00000316470.4,chr2,27346702,+,GENCODE
ABHD10,ENST00000273359.3,chr3,111697881,+,GENCODE
ABHD11,ENST00000222800.3,chr7,73153196,-,GENCODE
ABHD12,ENST00000339157.5,chr20,25371611,-,GENCODE
ABHD12B,"ENST00000337334.2,ENST00000353130.1",chr14,51338877,+,GENCODE
ABHD13,ENST00000375898.3,chr13,108870726,+,GENCODE
ABHD14A,ENST00000273596.3,chr3,52009083,+,GENCODE
ABHD14B,"ENST00000361143.5,ENST00000395008.2,ENST00000525795.1",chr3,52008063,-,GENCODE
ABHD14B,ENST00000483233.1,chr3,52017424,-,GENCODE
ABHD15,ENST00000307201.4,chr17,27894154,-,GENCODE
ABHD16A,ENST00000395952.3,chr6,31671220,-,GENCODE
ABHD16B,ENST00000369916.3,chr20,62492565,+,GENCODE
ABHD17A,ENST00000292577.7,chr19,1885545,-,GENCODE
ABHD17B,"ENST00000333421.6,ENST00000377041.2",chr9,74525751,-,GENCODE
ABHD17C,ENST00000258884.4,chr15,80987643,+,GENCODE
ABHD2,ENST00000352732.5,chr15,89631380,+,GENCODE
ABHD2,ENST00000355100.3,chr15,89645671,+,GENCODE
ABHD2,ENST00000565973.1,chr15,89631660,+,GENCODE
ABHD3,ENST00000289119.2,chr18,19284765,-,GENCODE
ABHD4,ENST00000428304.2,chr14,23067145,+,GENCODE
ABHD5,ENST00000458276.2,chr3,43732361,+,GENCODE
ABHD6,"ENST00000295962.4,ENST00000478253.1",chr3,58223245,+,GENCODE
ABHD8,ENST00000247706.3,chr19,17414281,-,GENCODE
ABI1,"ENST00000346832.5,ENST00000355394.4,ENST00000376134.3,ENST00000376137.4,ENST00000536334.1",chr10,27150015,-,GENCODE
ABI1,"ENST00000359188.4,ENST00000376138.3,ENST00000376140.3,ENST00000376142.2,ENST00000376170.4",chr10,27149859,-,GENCODE
ABI2,ENST00000295851.5,chr2,204192941,+,GENCODE
ABI2,ENST00000422511.2,chr2,204193206,+,GENCODE
ABI3,ENST00000419580.2,chr17,47287772,+,GENCODE
ABI3BP,"ENST00000284322.5,ENST00000471714.1",chr3,100712358,-,GENCODE
ABI3BP,ENST00000383691.4,chr3,100565271,-,GENCODE
ABL1,ENST00000372348.2,chr9,133589332,+,GENCODE
ABL2,"ENST00000367623.4,ENST00000507173.1,ENST00000511413.1",chr1,179198531,-,GENCODE
ABL2,ENST00000502732.1,chr1,179198735,-,GENCODE
ABL2,ENST00000504405.1,chr1,179112178,-,GENCODE
ABLIM1,ENST00000277895.5,chr10,116418056,-,GENCODE
ABLIM2,"ENST00000296372.8,ENST00000341937.5,ENST00000361581.5,ENST00000447017.2,ENST00000545242.1",chr4,8160502,-,GENCODE
ABLIM3,"ENST00000309868.7,ENST00000506113.1",chr5,148521120,+,GENCODE
ABO,"ENST00000453660.2,ENST00000538324.1",chr9,136150610,-,GENCODE
ABR,ENST00000302538.5,chr17,1083167,-,GENCODE
ABRA,ENST00000311955.3,chr8,107782472,-,GENCODE
ABRACL,ENST00000367660.3,chr6,139349818,+,GENCODE
ABT1,ENST00000274849.1,chr6,26597179,+,GENCODE
ABTB1,ENST00000232744.8,chr3,127391782,+,GENCODE
ABTB2,ENST00000435224.2,chr11,34379554,-,GENCODE
ACAA1,ENST00000333167.8,chr3,38178698,-,GENCODE
ACAA2,"ENST00000285093.10,ENST00000587994.1",chr18,47340325,-,GENCODE
ACACA,ENST00000394406.2,chr17,35716058,-,GENCODE
ACACB,ENST00000338432.7,chr12,109554399,+,GENCODE
ACACB,ENST00000377848.3,chr12,109577201,+,GENCODE
ACAD10,ENST00000313698.4,chr12,112123901,+,GENCODE
ACAD11,ENST00000264990.6,chr3,132379566,-,GENCODE
ACAD8,ENST00000281182.4,chr11,134123388,+,GENCODE
ACAD9,ENST00000308982.7,chr3,128598453,+,GENCODE
ACADL,ENST00000233710.3,chr2,211090214,-,GENCODE
ACADM,ENST00000370841.4,chr1,76190035,+,GENCODE
ACADM,ENST00000420607.2,chr1,76190464,+,GENCODE
ACADS,ENST00000242592.4,chr12,121163537,+,GENCODE
ACADSB,ENST00000358776.4,chr10,124768531,+,GENCODE
ACADVL,ENST00000356839.5,chr17,7123124,+,GENCODE
ACAN,ENST00000439576.2,chr15,89346673,+,GENCODE
ACAN,ENST00000561243.1,chr15,89379437,+,GENCODE
ACAP1,ENST00000158762.3,chr17,7239847,+,GENCODE
ACAP2,ENST00000326793.6,chr3,195163806,-,GENCODE
ACAP3,ENST00000354700.5,chr1,1243397,-,GENCODE
ACAT1,ENST00000265838.4,chr11,107992242,+,GENCODE
ACAT2,ENST00000367048.4,chr6,160181359,+,GENCODE
ACBD3,ENST00000366812.5,chr1,226374430,-,GENCODE
ACBD4,"ENST00000321854.8,ENST00000398322.3",chr17,43213063,+,GENCODE
ACBD5,ENST00000396271.3,chr10,27529743,-,GENCODE
ACBD6,ENST00000367595.3,chr1,180472088,-,GENCODE
ACBD7,ENST00000356189.5,chr10,15130774,-,GENCODE
ACCS,ENST00000263776.8,chr11,44087817,+,GENCODE
ACCSL,ENST00000378832.1,chr11,44069530,+,GENCODE
ACD,"ENST00000219251.8,ENST00000393919.4",chr16,67694678,-,GENCODE
ACE,ENST00000577647.1,chr17,61562183,+,GENCODE
ACE2,ENST00000252519.3,chrX,15619136,-,GENCODE
ACE2,ENST00000427411.1,chrX,15620191,-,GENCODE
ACER1,ENST00000301452.4,chr19,6333639,-,GENCODE
ACER2,ENST00000340967.2,chr9,19409056,+,GENCODE
ACER3,ENST00000532485.1,chr11,76571916,+,GENCODE
ACHE,ENST00000241069.5,chr7,100493508,-,GENCODE
ACHE,ENST00000412389.1,chr7,100492008,-,GENCODE
ACHE,ENST00000428317.1,chr7,100493752,-,GENCODE
ACIN1,"ENST00000262710.1,ENST00000457657.1",chr14,23564822,-,GENCODE
ACIN1,ENST00000555053.1,chr14,23564591,-,GENCODE
ACKR2,ENST00000273145.2,chr3,42861110,+,GENCODE
ACKR2,"ENST00000422265.1,ENST00000442925.1",chr3,42850965,+,GENCODE
ACKR3,ENST00000272928.3,chr2,237478283,+,GENCODE
ACKR4,ENST00000249887.2,chr3,132316080,+,GENCODE
ACLY,"ENST00000352035.2,ENST00000353196.1,ENST00000393896.2,ENST00000590151.1",chr17,40075249,-,GENCODE
ACMSD,ENST00000356140.5,chr2,135596116,+,GENCODE
ACN9,ENST00000432641.2,chr7,96745901,+,GENCODE
ACO1,"ENST00000309951.6,ENST00000379923.1",chr9,32384617,+,GENCODE
ACO2,ENST00000216254.4,chr22,41865128,+,GENCODE
ACOT1,ENST00000311148.4,chr14,74003817,+,GENCODE
ACOT11,ENST00000343744.2,chr1,55013900,+,GENCODE
ACOT12,ENST00000307624.3,chr5,80689961,-,GENCODE
ACOT13,ENST00000230048.4,chr6,24667298,+,GENCODE
ACOT2,ENST00000238651.5,chr14,74035762,+,GENCODE
ACOT4,ENST00000326303.4,chr14,74058409,+,GENCODE
ACOT6,ENST00000381139.1,chr14,74083547,+,GENCODE
ACOT7,ENST00000377845.3,chr1,6420766,-,GENCODE
ACOT7,ENST00000377855.2,chr1,6445872,-,GENCODE
ACOT7,ENST00000608083.1,chr1,6453420,-,GENCODE
ACOT8,ENST00000217455.4,chr20,44486044,-,GENCODE
ACOT9,ENST00000336430.7,chrX,23761392,-,GENCODE
ACOX1,ENST00000293217.5,chr17,73975443,-,GENCODE
ACOX1,ENST00000301608.4,chr17,73975214,-,GENCODE
ACOX2,ENST00000302819.5,chr3,58523045,-,GENCODE
ACOX3,ENST00000356406.5,chr4,8442437,-,GENCODE
ACOX3,ENST00000503233.1,chr4,8430212,-,GENCODE
ACOXL,ENST00000389811.4,chr2,111490149,+,GENCODE
ACP1,"ENST00000272065.5,ENST00000272067.6",chr2,264869,+,GENCODE
ACP2,ENST00000256997.3,chr11,47270456,-,GENCODE
ACP5,"ENST00000218758.5,ENST00000412435.2,ENST00000592828.1",chr19,11689797,-,GENCODE
ACP5,ENST00000433365.2,chr19,11688555,-,GENCODE
ACP6,ENST00000369238.6,chr1,147142617,-,GENCODE
ACPL2,"ENST00000286353.4,ENST00000393010.2",chr3,140950685,+,GENCODE
ACPP,ENST00000351273.7,chr3,132036250,+,GENCODE
ACPT,ENST00000270593.1,chr19,51293671,+,GENCODE
ACR,ENST00000216139.5,chr22,51176623,+,GENCODE
ACRBP,ENST00000229243.2,chr12,6756625,-,GENCODE
ACRC,ENST00000373695.1,chrX,70800134,+,GENCODE
ACRC,ENST00000373696.3,chrX,70798260,+,GENCODE
ACRV1,"ENST00000315608.3,ENST00000527795.1,ENST00000530048.1",chr11,125550739,-,GENCODE
ACRV1,ENST00000533904.1,chr11,125551017,-,GENCODE
ACSBG1,ENST00000258873.4,chr15,78527048,-,GENCODE
ACSBG2,"ENST00000252669.5,ENST00000586696.1,ENST00000591403.1",chr19,6135690,+,GENCODE
ACSF2,ENST00000300441.4,chr17,48503518,+,GENCODE
ACSF3,"ENST00000317447.4,ENST00000406948.3",chr16,89160253,+,GENCODE
ACSL1,ENST00000281455.2,chr4,185747247,-,GENCODE
ACSL1,ENST00000504342.1,chr4,185733412,-,GENCODE
ACSL1,ENST00000515030.1,chr4,185747971,-,GENCODE
ACSL3,"ENST00000357430.3,ENST00000392066.3",chr2,223725655,+,GENCODE
ACSL4,ENST00000348502.6,chrX,108976631,-,GENCODE
ACSL5,ENST00000354273.4,chr10,114135956,+,GENCODE
ACSL5,ENST00000354655.4,chr10,114133775,+,GENCODE
ACSL5,ENST00000393081.1,chr10,114135022,+,GENCODE
ACSL6,ENST00000379240.1,chr5,131330271,-,GENCODE
ACSL6,ENST00000379244.1,chr5,131335316,-,GENCODE
ACSL6,ENST00000543479.1,chr5,131347521,-,GENCODE
ACSM1,ENST00000307493.4,chr16,20702577,-,GENCODE
ACSM1,ENST00000520010.1,chr16,20709065,-,GENCODE
ACSM2A,"ENST00000219054.6,ENST00000573854.1,ENST00000575690.1",chr16,20462908,+,GENCODE
ACSM2A,ENST00000396104.2,chr16,20471425,+,GENCODE
ACSM2B,"ENST00000329697.6,ENST00000565232.1,ENST00000567001.1",chr16,20587640,-,GENCODE
ACSM3,ENST00000289416.5,chr16,20775023,+,GENCODE
ACSM4,ENST00000399422.4,chr12,7456879,+,GENCODE
ACSM5,ENST00000331849.4,chr16,20420855,+,GENCODE
ACSS1,ENST00000323482.4,chr20,25038817,-,GENCODE
ACSS2,ENST00000360596.2,chr20,33464237,+,GENCODE
ACSS3,ENST00000261206.3,chr12,81471835,+,GENCODE
ACSS3,ENST00000548058.1,chr12,81470989,+,GENCODE
ACTA1,ENST00000366684.3,chr1,229569840,-,GENCODE
ACTA2,ENST00000224784.6,chr10,90712529,-,GENCODE
ACTA2,ENST00000458208.1,chr10,90751146,-,GENCODE
ACTB,ENST00000331789.5,chr7,5570339,-,GENCODE
ACTBL2,ENST00000423391.1,chr5,56778635,-,GENCODE
ACTC1,ENST00000290378.4,chr15,35088339,-,GENCODE
ACTG1,"ENST00000331925.2,ENST00000573283.1,ENST00000575087.1,ENST00000575842.1",chr17,79479831,-,GENCODE
ACTG2,"ENST00000345517.3,ENST00000409624.1",chr2,74120119,+,GENCODE
ACTL10,ENST00000330271.4,chr20,32254303,+,GENCODE
ACTL6A,ENST00000429709.2,chr3,179280667,+,GENCODE
ACTL6B,ENST00000160382.5,chr7,100254083,-,GENCODE
ACTL7A,ENST00000333999.3,chr9,111624602,+,GENCODE
ACTL7B,ENST00000374667.3,chr9,111619238,-,GENCODE
ACTL8,ENST00000375406.1,chr1,18081807,+,GENCODE
ACTL9,ENST00000324436.3,chr19,8809171,-,GENCODE
ACTN1,ENST00000193403.6,chr14,69446156,-,GENCODE
ACTN1,ENST00000394419.4,chr14,69445955,-,GENCODE
ACTN2,"ENST00000366578.4,ENST00000542672.1",chr1,236849780,+,GENCODE
ACTN3,ENST00000511191.1,chr11,66314385,+,GENCODE
ACTN4,ENST00000252699.2,chr19,39138309,+,GENCODE
ACTR10,ENST00000254286.4,chr14,58666855,+,GENCODE
ACTR1A,ENST00000369905.4,chr10,104262467,-,GENCODE
ACTR1B,ENST00000289228.5,chr2,98280569,-,GENCODE
ACTR2,ENST00000260641.5,chr2,65454886,+,GENCODE
ACTR3,ENST00000263238.2,chr2,114647536,+,GENCODE
ACTR3B,ENST00000256001.8,chr7,152456833,+,GENCODE
ACTR3C,ENST00000252071.4,chr7,150000068,-,GENCODE
ACTR3C,ENST00000539352.1,chr7,150020757,-,GENCODE
ACTR5,ENST00000243903.4,chr20,37377084,+,GENCODE
ACTR6,ENST00000188312.2,chr12,100593864,+,GENCODE
ACTR8,ENST00000335754.3,chr3,53916228,-,GENCODE
ACTRT1,ENST00000371124.3,chrX,127186381,-,GENCODE
ACTRT2,ENST00000378404.2,chr1,2938045,+,GENCODE
ACTRT3,ENST00000330368.2,chr3,169487682,-,GENCODE
ACVR1,ENST00000263640.3,chr2,158731622,-,GENCODE
ACVR1,ENST00000409283.2,chr2,158663507,-,GENCODE
ACVR1,ENST00000410057.2,chr2,158694789,-,GENCODE
ACVR1,ENST00000434821.1,chr2,158732373,-,GENCODE
ACVR1B,ENST00000257963.4,chr12,52345450,+,GENCODE
ACVR1C,ENST00000243349.8,chr2,158485516,-,GENCODE
ACVR2A,"ENST00000241416.7,ENST00000404590.1",chr2,148602134,+,GENCODE
ACVR2B,ENST00000352511.4,chr3,38495341,+,GENCODE
ACVRL1,ENST00000388922.4,chr12,52301201,+,GENCODE
ACY1,ENST00000404366.2,chr3,52017477,+,GENCODE
ACY3,ENST00000255082.3,chr11,67418129,-,GENCODE
ACYP1,"ENST00000238618.3,ENST00000555694.1",chr14,75530740,-,GENCODE
ACYP2,ENST00000394666.3,chr2,54342640,+,GENCODE
ADA,ENST00000372874.4,chr20,43280382,-,GENCODE
ADAD1,ENST00000296513.2,chr4,123300167,+,GENCODE
ADAD2,ENST00000315906.5,chr16,84224784,+,GENCODE
ADAL,ENST00000422466.2,chr15,43622871,+,GENCODE
ADAL,ENST00000562188.1,chr15,43627289,+,GENCODE
ADAM10,ENST00000260408.3,chr15,59042176,-,GENCODE
ADAM11,ENST00000200557.6,chr17,42836398,+,GENCODE
ADAM12,ENST00000368679.4,chr10,128077023,-,GENCODE
ADAM15,"ENST00000271836.6,ENST00000355956.2,ENST00000356955.2,ENST00000359280.4,ENST00000360674.4,ENST00000368412.3,ENST00000449910.2,ENST00000531455.1",chr1,155023771,+,GENCODE
ADAM17,ENST00000310823.3,chr2,9695916,-,GENCODE
ADAM18,ENST00000265707.5,chr8,39442096,+,GENCODE
ADAM19,ENST00000257527.4,chr5,157002782,-,GENCODE
ADAM2,ENST00000265708.4,chr8,39695807,-,GENCODE
ADAM20,ENST00000256389.3,chr14,71001731,-,GENCODE
ADAM21,ENST00000267499.3,chr14,70924216,+,GENCODE
ADAM21,ENST00000603540.1,chr14,70918873,+,GENCODE
ADAM22,"ENST00000265727.7,ENST00000315984.7,ENST00000398201.4,ENST00000398209.3",chr7,87563699,+,GENCODE
ADAM22,ENST00000398204.4,chr7,87563457,+,GENCODE
ADAM23,ENST00000264377.3,chr2,207308262,+,GENCODE
ADAM23,ENST00000374415.3,chr2,207308590,+,GENCODE
ADAM28,ENST00000265769.4,chr8,24151552,+,GENCODE
ADAM29,"ENST00000359240.3,ENST00000404450.4,ENST00000445694.1,ENST00000514159.1",chr4,175839533,+,GENCODE
ADAM30,ENST00000369400.1,chr1,120439117,-,GENCODE
ADAM32,ENST00000379907.4,chr8,38965167,+,GENCODE
ADAM33,"ENST00000350009.2,ENST00000379861.4",chr20,3662820,-,GENCODE
ADAM7,ENST00000175238.6,chr8,24298538,+,GENCODE
ADAM8,ENST00000445355.3,chr10,135090371,-,GENCODE
ADAM9,ENST00000487273.2,chr8,38854504,+,GENCODE
ADAMDEC1,ENST00000256412.4,chr8,24241797,+,GENCODE
ADAMTS1,ENST00000284984.3,chr21,28217727,-,GENCODE
ADAMTS10,ENST00000270328.4,chr19,8673182,-,GENCODE
ADAMTS10,ENST00000597188.1,chr19,8675584,-,GENCODE
ADAMTS12,ENST00000504830.1,chr5,33892296,-,GENCODE
ADAMTS13,ENST00000355699.2,chr9,136287443,+,GENCODE
ADAMTS13,ENST00000371929.3,chr9,136287119,+,GENCODE
ADAMTS14,"ENST00000373207.1,ENST00000373208.1",chr10,72432558,+,GENCODE
ADAMTS15,ENST00000299164.2,chr11,130318868,+,GENCODE
ADAMTS16,ENST00000274181.7,chr5,5140442,+,GENCODE
ADAMTS17,ENST00000268070.4,chr15,100882209,-,GENCODE
ADAMTS18,ENST00000282849.5,chr16,77469010,-,GENCODE
ADAMTS19,ENST00000274487.4,chr5,128795957,+,GENCODE
ADAMTS2,ENST00000251582.7,chr5,178772430,-,GENCODE
ADAMTS20,ENST00000389420.3,chr12,43945723,-,GENCODE
ADAMTS3,ENST00000286657.4,chr4,73434515,-,GENCODE
ADAMTS4,ENST00000367996.5,chr1,161168845,-,GENCODE
ADAMTS5,ENST00000284987.5,chr21,28338831,-,GENCODE
ADAMTS6,ENST00000381055.3,chr5,64777746,-,GENCODE
ADAMTS7,ENST00000388820.4,chr15,79103772,-,GENCODE
ADAMTS8,ENST00000257359.6,chr11,130298887,-,GENCODE
ADAMTS9,ENST00000498707.1,chr3,64673675,-,GENCODE
ADAMTSL1,ENST00000380548.4,chr9,18473891,+,GENCODE
ADAMTSL2,ENST00000354484.4,chr9,136397285,+,GENCODE
ADAMTSL2,ENST00000393060.1,chr9,136399974,+,GENCODE
ADAMTSL3,ENST00000286744.5,chr15,84322837,+,GENCODE
ADAMTSL4,ENST00000271643.4,chr1,150521897,+,GENCODE
ADAMTSL4,ENST00000369038.2,chr1,150524563,+,GENCODE
ADAMTSL5,ENST00000330475.4,chr19,1513187,-,GENCODE
ADAP1,ENST00000265846.5,chr7,994332,-,GENCODE
ADAP2,ENST00000330889.3,chr17,29248697,+,GENCODE
ADAP2,ENST00000580525.1,chr17,29248949,+,GENCODE
ADAR,ENST00000292205.5,chr1,154600473,-,GENCODE
ADAR,ENST00000368474.4,chr1,154580681,-,GENCODE
ADAR,ENST00000529168.1,chr1,154575101,-,GENCODE
ADARB1,ENST00000348831.4,chr21,46494514,+,GENCODE
ADARB2,ENST00000381312.1,chr10,1779669,-,GENCODE
ADAT1,ENST00000307921.3,chr16,75657197,-,GENCODE
ADAT2,ENST00000237283.8,chr6,143771809,-,GENCODE
ADAT3,ENST00000602400.1,chr19,1905416,+,GENCODE
ADC,"ENST00000294517.6,ENST00000373443.3",chr1,33546740,+,GENCODE
ADCK1,ENST00000238561.5,chr14,78266425,+,GENCODE
ADCK2,ENST00000072869.4,chr7,140372952,+,GENCODE
ADCK3,ENST00000366777.3,chr1,227127988,+,GENCODE
ADCK3,ENST00000366779.1,chr1,227085236,+,GENCODE
ADCK4,ENST00000243583.6,chr19,41220977,-,GENCODE
ADCK4,"ENST00000324464.3,ENST00000450541.1",chr19,41222789,-,GENCODE
ADCK5,ENST00000308860.6,chr8,145597740,+,GENCODE
ADCY1,ENST00000297323.7,chr7,45614120,+,GENCODE
ADCY10,ENST00000367851.4,chr1,167883339,-,GENCODE
ADCY2,ENST00000338316.4,chr5,7396320,+,GENCODE
ADCY3,ENST00000260600.5,chr2,25142707,-,GENCODE
ADCY4,"ENST00000310677.4,ENST00000554068.2",chr14,24804276,-,GENCODE
ADCY4,ENST00000418030.2,chr14,24803952,-,GENCODE
ADCY5,ENST00000462833.1,chr3,123168604,-,GENCODE
ADCY6,ENST00000307885.4,chr12,49177911,-,GENCODE
ADCY7,ENST00000254235.3,chr16,50321822,+,GENCODE
ADCY7,ENST00000394697.2,chr16,50300426,+,GENCODE
ADCY8,ENST00000286355.5,chr8,132054671,-,GENCODE
ADCY9,ENST00000294016.3,chr16,4166185,-,GENCODE
ADCYAP1,"ENST00000450565.3,ENST00000579794.1",chr18,905026,+,GENCODE
ADCYAP1R1,"ENST00000304166.4,ENST00000409363.1",chr7,31092108,+,GENCODE
ADCYAP1R1,ENST00000396211.2,chr7,31102809,+,GENCODE
ADD1,ENST00000398129.1,chr4,2877622,+,GENCODE
ADD1,ENST00000446856.1,chr4,2845583,+,GENCODE
ADD2,"ENST00000264436.4,ENST00000413157.2,ENST00000430656.1",chr2,70995326,-,GENCODE
ADD2,ENST00000407644.2,chr2,70994846,-,GENCODE
ADD3,"ENST00000277900.8,ENST00000356080.4",chr10,111767720,+,GENCODE
ADD3,ENST00000360162.3,chr10,111765561,+,GENCODE
ADGB,ENST00000397944.3,chr6,146920100,+,GENCODE
ADH1A,ENST00000209668.2,chr4,100212184,-,GENCODE
ADH1B,ENST00000305046.8,chr4,100242555,-,GENCODE
ADH1C,ENST00000515683.1,chr4,100274183,-,GENCODE
ADH4,ENST00000265512.7,chr4,100065447,-,GENCODE
ADH5,ENST00000296412.8,chr4,100009901,-,GENCODE
ADH6,ENST00000394899.2,chr4,100140402,-,GENCODE
ADH7,ENST00000437033.2,chr4,100356893,-,GENCODE
ADHFE1,ENST00000396623.3,chr8,67344720,+,GENCODE
ADI1,ENST00000327435.6,chr2,3523506,-,GENCODE
ADIG,ENST00000537425.1,chr20,37209837,+,GENCODE
ADIPOQ,"ENST00000320741.2,ENST00000412955.2,ENST00000444204.2",chr3,186560477,+,GENCODE
ADIPOR1,"ENST00000340990.5,ENST00000436244.1",chr1,202927607,-,GENCODE
ADIPOR2,ENST00000357103.4,chr12,1800192,+,GENCODE
ADIRF,ENST00000372013.3,chr10,88727948,+,GENCODE
ADK,ENST00000286621.2,chr10,75910986,+,GENCODE
ADK,ENST00000372734.3,chr10,75936443,+,GENCODE
ADM,ENST00000278175.5,chr11,10326226,+,GENCODE
ADM,"ENST00000525063.1,ENST00000528655.1",chr11,10326632,+,GENCODE
