study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	experiment_title	experiment_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA473883	SAMN09276337	SRX4136819	SRR7230406	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163898: RNAseq_12hr_rep2; Homo sapiens; RNA-Seq	GSM3163898	6923069553;7258360758	b951ea738d179b29c4e18599badba91c;41d5eaa32a83d29ebc00c001d60dc497	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230406/SRR7230406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230406/SRR7230406_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230406/SRR7230406_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230406/SRR7230406_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/006/SRR7230406	GSM3163898	RNAseq_12hr_rep2
PRJNA473883	SAMN09276335	SRX4136820	SRR7230407	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163899: RNAseq_24hr_rep2; Homo sapiens; RNA-Seq	GSM3163899	7426133213;7749343847	164f877514b9f9e33be204f7383669ff;e910d1e7252f0da0a74379a5496bc990	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/007/SRR7230407/SRR7230407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/007/SRR7230407/SRR7230407_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/007/SRR7230407/SRR7230407_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/007/SRR7230407/SRR7230407_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/007/SRR7230407	GSM3163899	RNAseq_24hr_rep2
PRJNA473883	SAMN09276333	SRX4136821	SRR7230408	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163900: RNAseq_48hr_rep2; Homo sapiens; RNA-Seq	GSM3163900	7792448553;8036078078	77671109893e7a6279597b8fa94aad24;8bc50ec4b229689e8a06de84a842e0a9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/008/SRR7230408/SRR7230408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/008/SRR7230408/SRR7230408_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/008/SRR7230408/SRR7230408_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/008/SRR7230408/SRR7230408_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/008/SRR7230408	GSM3163900	RNAseq_48hr_rep2
PRJNA473883	SAMN09276332	SRX4136822	SRR7230409	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163901: RNAseq_72hr_rep2; Homo sapiens; RNA-Seq	GSM3163901	8032671441;8515833770	2d529192d6d74eac22520c2dc7ff2d67;68b3ccddd5f617202eff1908aa60921b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/009/SRR7230409/SRR7230409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/009/SRR7230409/SRR7230409_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/009/SRR7230409/SRR7230409_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/009/SRR7230409/SRR7230409_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/009/SRR7230409	GSM3163901	RNAseq_72hr_rep2
PRJNA473883	SAMN09276330	SRX4136823	SRR7230410	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163902: RNAseq_0hr_rep3; Homo sapiens; RNA-Seq	GSM3163902	6290127520;6563758014	7f40ec693e1eee2dcbe9aa431f33053e;2892fea8bce02a5bbe23f4cb95c47e68	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/000/SRR7230410/SRR7230410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/000/SRR7230410/SRR7230410_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/000/SRR7230410/SRR7230410_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/000/SRR7230410/SRR7230410_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/000/SRR7230410	GSM3163902	RNAseq_0hr_rep3
PRJNA473883	SAMN09276329	SRX4136824	SRR7230411	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163903: RNAseq_3hr_rep3; Homo sapiens; RNA-Seq	GSM3163903	6942022186;7190850490	c0110c7844e7eb96dd43e4f47741e4bc;0f70d5a3bb134aecc7931ec1390dd772	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/001/SRR7230411/SRR7230411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/001/SRR7230411/SRR7230411_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/001/SRR7230411/SRR7230411_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/001/SRR7230411/SRR7230411_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/001/SRR7230411	GSM3163903	RNAseq_3hr_rep3
PRJNA473883	SAMN09276327	SRX4136825	SRR7230412	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163904: RNAseq_6hr_rep3; Homo sapiens; RNA-Seq	GSM3163904	9145703995;9574541277	ca942ef3e7068b53625fc90e02a81889;27c566d998a3df5165583715b86dc661	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/002/SRR7230412/SRR7230412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/002/SRR7230412/SRR7230412_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/002/SRR7230412/SRR7230412_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/002/SRR7230412/SRR7230412_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/002/SRR7230412	GSM3163904	RNAseq_6hr_rep3
PRJNA473883	SAMN09276325	SRX4136826	SRR7230413	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163905: RNAseq_12hr_rep3; Homo sapiens; RNA-Seq	GSM3163905	6339433896;6531778083	b29382c9b76ef4c59719756a3bd1cca5;22ffcf7cfb2c744566abd6868e4e86ff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/003/SRR7230413/SRR7230413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/003/SRR7230413/SRR7230413_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/003/SRR7230413/SRR7230413_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/003/SRR7230413/SRR7230413_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/003/SRR7230413	GSM3163905	RNAseq_12hr_rep3
PRJNA473883	SAMN09276324	SRX4136827	SRR7230414	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163906: RNAseq_24hr_rep3; Homo sapiens; RNA-Seq	GSM3163906	7711062164;7975450284	be63ae8a738c8a0bdecf34227a521528;af88aaa8eb9cd15c9a7edbd4fa7099f5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/004/SRR7230414/SRR7230414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/004/SRR7230414/SRR7230414_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/004/SRR7230414/SRR7230414_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/004/SRR7230414/SRR7230414_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/004/SRR7230414	GSM3163906	RNAseq_24hr_rep3
PRJNA473883	SAMN09276322	SRX4136828	SRR7230415	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163907: RNAseq_48hr_rep3; Homo sapiens; RNA-Seq	GSM3163907	8172629062;8512888689	99074f72c3077c7b9b6efcf225690c5a;f474c3c502912c56ddaf8c84e1ff6de3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/005/SRR7230415/SRR7230415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/005/SRR7230415/SRR7230415_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/005/SRR7230415/SRR7230415_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/005/SRR7230415/SRR7230415_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/005/SRR7230415	GSM3163907	RNAseq_48hr_rep3
PRJNA473883	SAMN09276320	SRX4136829	SRR7230416	9606	Homo sapiens		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500 sequencing; GSM3163908: RNAseq_72hr_rep3; Homo sapiens; RNA-Seq	GSM3163908	7736456303;8007568368	6f544977896f9fcae592b1965a9f364f;213af09cf1d4c9e13feceb1def4fd167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230416/SRR7230416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230416/SRR7230416_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230416/SRR7230416_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230416/SRR7230416_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/006/SRR7230416	GSM3163908	RNAseq_72hr_rep3
