Gene ID,TSS ID,Transcript ID,gene name,chromosome,strand,TSS source,primary TSS 5prime,primary TSS 3prime,secondary TSS 5prime,secondary TSS 3prime
LH00094,TSS406,CUFF.458.1,-,chr1,+,Annotation,16273569,16273569,16273569,16273569
LH00095,TSS410,CUFF.468.1,-,chr1,+,Annotation,16451418,16451418,16451418,16451418
LH00096,TSS412,P1P2,RP11-276H7.2,chr1,+,"CAGE, primary peaks",16481684,16481727,16481504,16481512
LH00097,TSS415,ENST00000457809,ARHGEF19-AS1,chr1,+,Annotation,16524349,16524349,16524349,16524349
LH00098,TSS416,CUFF.475.4,-,chr1,+,Annotation,16525019,16525019,16525019,16525019
LH00099,TSS417,CUFF.471.1,-,chr1,+,Annotation,16540082,16540082,16540082,16540082
LH00100,TSS420,CUFF.474.1,-,chr1,+,Annotation,16555516,16555516,16555516,16555516
LH00101,TSS421,CUFF.474.2,-,chr1,+,Annotation,16556087,16556087,16556087,16556087
LH00102,TSS425,CUFF.476.7,-,chr1,+,Annotation,16571381,16571381,16571381,16571381
LH00103,TSS428,ENST00000457898,RP4-798A10.2,chr1,+,Annotation,16787443,16787443,16787443,16787443
LH00104,TSS429,CUFF.478.2,-,chr1,+,Annotation,16796588,16796588,16796588,16796588
LH00105,TSS430,CUFF.480.1,-,chr1,+,Annotation,16819152,16819152,16819152,16819152
LH00106,TSS431,CUFF.480.2,-,chr1,+,Annotation,16819809,16819809,16819809,16819809
LH00107,TSS434,CUFF.503.1,RP4-798A10.4,chr1,+,Annotation,16839069,16839069,16839069,16839069
LH00108,TSS435,CUFF.503.2,RP4-798A10.4,chr1,+,Annotation,16839411,16839411,16839411,16839411
LH00109,TSS436,ENST00000562878,RP4-798A10.7,chr1,+,Annotation,16841140,16841140,16841140,16841140
LH00110,TSS438,CUFF.504.1,-,chr1,+,Annotation,16854824,16854824,16854824,16854824
LH00111,TSS440,CUFF.604.1,-,chr1,+,Annotation,16935171,16935171,16935171,16935171
LH00112,TSS444,CUFF.490.1,-,chr1,+,Annotation,17018979,17018979,17018979,17018979
LH00113,TSS446,CUFF.493.1,-,chr1,+,"CAGE, robust peak",17026220,17026221,17026220,17026221
LH00114,TSS455,P1P2,U1,chr1,+,"CAGE, primary peaks",17198762,17198770,17198762,17198770
LH00115,TSS457,P1P2,RP1-37C10.3,chr1,+,"CAGE, primary peaks",17305454,17305494,17305346,17305350
LH00116,TSS467,ENST00000439577,RP1-20B21.4,chr1,+,Annotation,17733256,17733256,17733256,17733256
LH00117,TSS468,CUFF.512.1,-,chr1,+,Annotation,17735665,17735665,17735665,17735665
LH00118,TSS469,"CUFF.510.1,CUFF.510.3",-,chr1,+,"CAGE, robust peak",17764719,17764731,17764719,17764731
LH00119,TSS470,CUFF.513.1,-,chr1,+,CAGE permissive peak,17766336,17766376,17766377,17766388
LH00120,TSS472,CUFF.509.1,-,chr1,+,Annotation,18002209,18002209,18002209,18002209
LH00121,TSS495,CUFF.550.3,-,chr1,+,Annotation,19236044,19236044,19236044,19236044
LH00122,TSS499,CUFF.552.1,-,chr1,+,Annotation,19466049,19466049,19466049,19466049
LH00123,TSS500,P1P2,RP1-43E13.2,chr1,+,"CAGE, primary peaks",19536877,19536903,19536982,19537032
LH00124,TSS502,CUFF.555.1,-,chr1,+,Annotation,19658090,19658090,19658090,19658090
LH00125,TSS503,CUFF.559.1,-,chr1,+,CAGE permissive peak,19665613,19665619,19665613,19665619
LH00126,TSS509,CUFF.573.1,-,chr1,+,Annotation,20009028,20009028,20009028,20009028
LH00127,TSS510,CUFF.569.1,-,chr1,+,Annotation,20070603,20070603,20070603,20070603
LH00128,TSS511,CUFF.590.1,RP11-91K11.2,chr1,+,CAGE permissive peak,20091503,20091506,20091503,20091506
LH00129,TSS534,"TUCPT_00000016,CUFF.641.1",LINC01141-ASTUCP1,chr1,+,Annotation,20701782,20701782,20701782,20701782
LH00130,TSS540,P1P2,RP5-930J4.2,chr1,+,"CAGE, primary peaks",21058881,21058900,21058971,21058979
LH00131,TSS542,CUFF.602.1,RP5-930J4.4,chr1,+,Annotation,21066383,21066383,21066383,21066383
LH00132,TSS543,ENST00000413451,RP5-930J4.4,chr1,+,Annotation,21069480,21069480,21069480,21069480
LH00133,TSS544,CUFF.600.1,-,chr1,+,Annotation,21080188,21080188,21080188,21080188
LH00134,TSS545,CUFF.599.1,-,chr1,+,Annotation,21501606,21501606,21501606,21501606
LH00135,TSS548,CUFF.612.1,RP5-1071N3.1,chr1,+,"CAGE, robust peak",21616499,21616533,21616499,21616533
LH00136,TSS568,"CUFF.620.2,CUFF.620.3,CUFF.620.4",-,chr1,+,Annotation,22179064,22179064,22179064,22179064
LH00137,TSS570,CUFF.619.2,-,chr1,+,CAGE permissive peak,22233309,22233317,22233588,22233592
LH00138,TSS571,"CUFF.644.2,CUFF.644.3",LINC00339,chr1,+,"CAGE, robust peak",22351609,22351631,22351652,22351689
LH00139,TSS572,P1P2,LINC00339,chr1,+,"CAGE, primary peaks",22351977,22352017,22352040,22352056
LH00139,TSS573,P1P2,LINC00339,chr1,+,"CAGE, primary peaks",22351977,22352017,22352040,22352056
LH00140,TSS575,ENST00000431803,CDC42-IT1,chr1,+,Annotation,22385690,22385690,22385690,22385690
LH00141,TSS581,CUFF.661.12,-,chr1,+,Annotation,22489829,22489829,22489829,22489829
LH00142,TSS602,P1P2,ZBTB40-IT1,chr1,+,"CAGE, primary peaks",22843916,22843960,22843916,22843960
LH00143,TSS611,ENST00000610135,RP1-74M1.3,chr1,+,Annotation,23243175,23243175,23243175,23243175
LH00144,TSS619,CUFF.660.1,-,chr1,+,Annotation,23707872,23707872,23707872,23707872
LH00145,TSS622,CUFF.666.1,-,chr1,+,Annotation,23745799,23745799,23745799,23745799
LH00146,TSS624,P1P2,-,chr1,+,"CAGE, primary peaks",23848396,23848438,23848396,23848438
LH00147,TSS630,CUFF.674.1,-,chr1,+,Annotation,24030774,24030774,24030774,24030774
LH00148,TSS631,CUFF.677.1,-,chr1,+,CAGE permissive peak,24034005,24034007,24034005,24034007
LH00149,TSS633,CUFF.683.2,-,chr1,+,Annotation,24042528,24042528,24042528,24042528
LH00150,TSS634,CUFF.678.1,-,chr1,+,Annotation,24050590,24050590,24050590,24050590
LH00151,TSS636,CUFF.678.3,-,chr1,+,Annotation,24052401,24052401,24052401,24052401
LH00152,TSS660,CUFF.691.2,-,chr1,+,Annotation,24477831,24477831,24477831,24477831
LH00153,TSS661,CUFF.690.1,-,chr1,+,Annotation,24484180,24484180,24484180,24484180
LH00154,TSS662,CUFF.690.2,-,chr1,+,Annotation,24484318,24484318,24484318,24484318
LH00155,TSS672,CUFF.713.1,-,chr1,+,Annotation,24682406,24682406,24682406,24682406
LH00156,TSS702,TUCPT_00000024,C1orf63-ASTUCP1,chr1,+,CAGE permissive peak,25559068,25559139,25559142,25559153
LH00157,TSS703,ENST00000607698,RP3-465N24.6,chr1,+,"CAGE, robust peak",25574119,25574132,25574119,25574132
LH00158,TSS704,CUFF.741.1,-,chr1,+,Annotation,25575954,25575954,25575954,25575954
LH00159,TSS705,CUFF.763.2,-,chr1,+,Annotation,25588799,25588799,25588799,25588799
LH00160,TSS706,CUFF.764.1,-,chr1,+,Annotation,25633615,25633615,25633615,25633615
LH00161,TSS707,CUFF.745.1,-,chr1,+,Annotation,25702340,25702340,25702340,25702340
LH00162,TSS717,CUFF.756.2,-,chr1,+,Annotation,26094200,26094200,26094200,26094200
LH00163,TSS732,CUFF.777.1,-,chr1,+,Annotation,26670921,26670921,26670921,26670921
LH00164,TSS738,CUFF.793.1,-,chr1,+,Annotation,26813148,26813148,26813148,26813148
LH00165,TSS749,ENST00000448791,RP1-50O24.6,chr1,+,Annotation,27202624,27202624,27202624,27202624
LH00166,TSS767,CUFF.835.2,RP1-159A19.4,chr1,+,CAGE permissive peak,27848967,27848974,27848980,27849010
LH00167,TSS768,P1P2,RP1-159A19.4,chr1,+,"CAGE, primary peaks",27852240,27852266,27852283,27852302
LH00168,TSS770,CUFF.841.2,-,chr1,+,Annotation,27868732,27868732,27868732,27868732
LH00169,TSS785,ENST00000602607,RP3-426I6.5,chr1,+,Annotation,28100369,28100369,28100369,28100369
LH00170,TSS786,ENST00000602843,RP3-426I6.6,chr1,+,Annotation,28146494,28146494,28146494,28146494
LH00171,TSS791,P1P2,SNHG3,chr1,+,"CAGE, primary peaks",28832548,28832568,28832727,28832730
LH00171,TSS792,P1P2,SNHG3,chr1,+,"CAGE, primary peaks",28832548,28832568,28832727,28832730
LH00172,TSS793,P1P2,RP11-442N24__B.1,chr1,+,"CAGE, primary peaks",28969666,28969702,28969730,28969759
LH00173,TSS796,P1P2,RNU11,chr1,+,"CAGE, primary peaks",28975099,28975162,28975204,28975220
LH00174,TSS798,P1P2,RP1-212P9.2,chr1,+,"CAGE, primary peaks",29194031,29194033,29194031,29194033
LH00175,TSS799,CUFF.848.2,-,chr1,+,"CAGE, robust peak",29448195,29448210,29448195,29448210
LH00176,TSS803,P1P2,RP11-242O24.5,chr1,+,"CAGE, primary peaks",29475201,29475285,29475201,29475285
LH00177,TSS805,CUFF.854.1,-,chr1,+,Annotation,29522670,29522670,29522670,29522670
LH00178,TSS806,P1P2,RP11-467D18.2,chr1,+,"CAGE, primary peaks",29550181,29550182,29550181,29550182
LH00179,TSS821,CUFF.865.1,-,chr1,+,Annotation,30397519,30397519,30397519,30397519
LH00180,TSS849,P1P2,MATN1-AS1,chr1,+,"CAGE, primary peaks",31191601,31191660,31191579,31191592
LH00180,TSS850,P1P2,MATN1-AS1,chr1,+,"CAGE, primary peaks",31191601,31191660,31191579,31191592
LH00181,TSS851,ENST00000443076,MATN1-AS1,chr1,+,Annotation,31198567,31198567,31198567,31198567
LH00182,TSS852,CUFF.883.1,-,chr1,+,Annotation,31208137,31208137,31208137,31208137
LH00183,TSS853,CUFF.885.1,-,chr1,+,Annotation,31239005,31239005,31239005,31239005
LH00184,TSS861,CUFF.891.1,-,chr1,+,Annotation,31406101,31406101,31406101,31406101
LH00185,TSS863,NLT_00000046,LINC-NKAIN1-1,chr1,+,"CAGE, robust peak",31627921,31627958,31627921,31627958
LH00186,TSS878,ENST00000609549,RP11-73M7.6,chr1,+,CAGE permissive peak,32109649,32109664,32109649,32109664
LH00187,TSS883,ENST00000445166,RP11-73M7.6,chr1,+,Annotation,32121710,32121710,32121710,32121710
LH00188,TSS884,ENST00000588288,RP11-73M7.6,chr1,+,Annotation,32122859,32122859,32122859,32122859
LH00189,TSS885,P1P2,-,chr1,+,"CAGE, primary peaks",32135775,32135812,32135775,32135812
LH00190,TSS888,P1P2,RP11-84A19.3,chr1,+,"CAGE, primary peaks",32254326,32254340,32254326,32254340
LH00191,TSS889,P1P2,RP4-534N18.2,chr1,+,"CAGE, primary peaks",32398301,32398335,32398301,32398335
LH00192,TSS891,CUFF.925.1,-,chr1,+,Annotation,32411341,32411341,32411341,32411341
LH00193,TSS893,ENST00000515055,RP4-622L5.2,chr1,+,Annotation,32636334,32636334,32636334,32636334
LH00194,TSS894,CUFF.937.1,-,chr1,+,Annotation,32700067,32700067,32700067,32700067
LH00195,TSS903,CUFF.955.1,-,chr1,+,Annotation,32901106,32901106,32901106,32901106
LH00196,TSS906,CUFF.961.1,-,chr1,+,Annotation,33100334,33100334,33100334,33100334
LH00197,TSS913,CUFF.969.1,-,chr1,+,Annotation,33430216,33430216,33430216,33430216
LH00198,TSS920,CUFF.977.1,-,chr1,+,Annotation,33697008,33697008,33697008,33697008
LH00199,TSS922,ENST00000602618,RP11-415J8.7,chr1,+,Annotation,33726813,33726813,33726813,33726813
LH00200,TSS924,ENST00000587696,RP11-415J8.3,chr1,+,Annotation,33780348,33780348,33780348,33780348
LH00201,TSS925,CUFF.988.6,RP11-415J8.3,chr1,+,Annotation,33789970,33789970,33789970,33789970
LH00202,TSS927,P1P2,RP11-415J8.5,chr1,+,"CAGE, primary peaks",33815651,33815720,33815651,33815720
LH00203,TSS936,CUFF.985.1,-,chr1,+,Annotation,33982436,33982436,33982436,33982436
LH00204,TSS946,CUFF.992.1,-,chr1,+,Annotation,34290135,34290135,34290135,34290135
LH00205,TSS965,CUFF.1005.1,RP5-997D16.2,chr1,+,Annotation,35310860,35310860,35310860,35310860
LH00206,TSS966,ENST00000429293,RP5-997D16.2,chr1,+,Annotation,35316295,35316295,35316295,35316295
LH00207,TSS969,CUFF.1008.2,RP11-244H3.1,chr1,+,Annotation,35442683,35442683,35442683,35442683
LH00208,TSS975,CUFF.1016.1,RP11-435D7.3,chr1,+,Annotation,36203732,36203732,36203732,36203732
LH00209,TSS976,ENST00000373226,RP11-435D7.3,chr1,+,Annotation,36204990,36204990,36204990,36204990
LH00210,TSS977,CUFF.1018.1,-,chr1,+,Annotation,36565471,36565471,36565471,36565471
LH00211,TSS982,CUFF.1020.1,-,chr1,+,Annotation,36825309,36825309,36825309,36825309
LH00212,TSS983,"CUFF.1029.1,CUFF.1029.2",-,chr1,+,"CAGE, robust peak",36851594,36851640,36851594,36851640
LH00213,TSS984,CUFF.1030.1,-,chr1,+,Annotation,36854668,36854668,36854668,36854668
LH00214,TSS985,CUFF.1028.2,-,chr1,+,CAGE permissive peak,36866862,36866899,36866862,36866899
LH00215,TSS988,CUFF.1036.1,-,chr1,+,Annotation,36877488,36877488,36877488,36877488
LH00216,TSS991,CUFF.1033.3,-,chr1,+,Annotation,36901356,36901356,36901356,36901356
LH00217,TSS993,"CUFF.1031.1,CUFF.1031.2",-,chr1,+,"CAGE, robust peak",36916215,36916236,36916215,36916236
LH00218,TSS1021,CUFF.1043.2,-,chr1,+,Annotation,37955449,37955449,37955449,37955449
LH00219,TSS1022,CUFF.1055.3,-,chr1,+,CAGE permissive peak,37984640,37984646,37984640,37984646
LH00220,TSS1033,ENST00000419993,RP11-109P14.10,chr1,+,Annotation,38326369,38326369,38326369,38326369
LH00221,TSS1034,CUFF.1063.1,-,chr1,+,Annotation,38373314,38373314,38373314,38373314
LH00222,TSS1038,CUFF.1060.1,-,chr1,+,Annotation,38459826,38459826,38459826,38459826
LH00223,TSS1056,P1P2,RP5-864K19.4,chr1,+,"CAGE, primary peaks",39325623,39325679,39325587,39325622
LH00224,TSS1058,CUFF.1079.1,-,chr1,+,Annotation,39508264,39508264,39508264,39508264
LH00225,TSS1059,CUFF.1080.1,-,chr1,+,Annotation,39512712,39512712,39512712,39512712
LH00226,TSS1060,CUFF.1081.1,-,chr1,+,Annotation,39532692,39532692,39532692,39532692
LH00227,TSS1063,"CUFF.1090.2,ENST00000415255",RP11-69E11.8,chr1,+,"CAGE, robust peak",40030722,40030730,40030722,40030730
LH00228,TSS1070,CUFF.1087.1,-,chr1,+,Annotation,40115409,40115409,40115409,40115409
LH00229,TSS1075,P1P2,RP1-118J21.25,chr1,+,"CAGE, primary peaks",40254849,40254858,40254822,40254829
LH00230,TSS1085,CUFF.1113.1,-,chr1,+,Annotation,40360628,40360628,40360628,40360628
LH00231,TSS1084,ENST00000418255,RP1-118J21.5,chr1,+,Annotation,40363417,40363417,40363417,40363417
LH00232,TSS1095,ENST00000565390,RP1-228H13.5,chr1,+,Annotation,40929991,40929991,40929991,40929991
LH00233,TSS1109,CUFF.1141.1,-,chr1,+,Annotation,41500185,41500185,41500185,41500185
LH00234,TSS1118,CUFF.1189.1,-,chr1,+,CAGE permissive peak,41889497,41889508,41889497,41889508
LH00235,TSS1120,"CUFF.1190.1,CUFF.1190.4",-,chr1,+,CAGE permissive peak,41898664,41898699,41898664,41898699
LH00236,TSS1125,ENST00000440249,RP11-486B10.3,chr1,+,Annotation,42001114,42001114,42001114,42001114
LH00237,TSS1140,"CUFF.1158.1,CUFF.1158.3",-,chr1,+,Annotation,42307027,42307027,42307027,42307027
LH00238,TSS1145,CUFF.1172.1,-,chr1,+,Annotation,42639450,42639450,42639450,42639450
LH00238,TSS1146,CUFF.1173.1,-,chr1,+,Annotation,42639544,42639544,42639544,42639544
LH00239,TSS1147,CUFF.1165.1,RP11-223A3.1,chr1,+,Annotation,42802390,42802390,42802390,42802390
LH00240,TSS1149,ENST00000414339,RP5-994D16.3,chr1,+,Annotation,43144406,43144406,43144406,43144406
LH00241,TSS1151,CUFF.1181.1,-,chr1,+,Annotation,43231020,43231020,43231020,43231020
LH00242,TSS1152,CUFF.1182.1,-,chr1,+,Annotation,43268636,43268636,43268636,43268636
LH00243,TSS1155,P1P2,SLC2A1-AS1,chr1,+,"CAGE, primary peaks",43424698,43424725,43424731,43424756
LH00244,TSS1163,CUFF.1200.1,-,chr1,+,Annotation,43585819,43585819,43585819,43585819
LH00245,TSS1164,CUFF.1200.2,-,chr1,+,Annotation,43610070,43610070,43610070,43610070
LH00246,TSS1165,CUFF.1196.1,-,chr1,+,Annotation,43627795,43627795,43627795,43627795
LH00247,TSS1167,CUFF.1220.1,-,chr1,+,Annotation,43840223,43840223,43840223,43840223
LH00248,TSS1168,ENST00000436713,RP1-92O14.6,chr1,+,Annotation,43850784,43850784,43850784,43850784
LH00249,TSS1169,P1P2,HYI-AS1,chr1,+,"CAGE, primary peaks",43919542,43919560,43919576,43919586
LH00250,TSS1170,CUFF.1226.3,-,chr1,+,Annotation,43968077,43968077,43968077,43968077
LH00251,TSS1179,CUFF.1219.3,-,chr1,+,Annotation,44095442,44095442,44095442,44095442
LH00252,TSS1182,CUFF.1221.1,-,chr1,+,CAGE permissive peak,44463227,44463268,44463227,44463268
LH00253,TSS1184,CUFF.1319.2,RP5-1198O20.4,chr1,+,"CAGE, robust peak",44495803,44495807,44496085,44496120
