study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	experiment_title	study_title	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	sample_alias	sample_title
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018987	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_1064_h1_r2b_6b	720086227	5360ac017e08cdaed2518bd3612372a1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018987/SRR018987.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018987/SRR018987.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018987/SRR018987.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR018988	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_1064_h1_r2b_7b	716639123	44dac7e0c451e1951244948e601587e7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018988/SRR018988.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR018/SRR018988/SRR018988.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018988/SRR018988.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019015	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2023_h1_r2b_1b	841351971	725a6ea8903d5e39f790e2694ad8c28c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019015/SRR019015.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019015/SRR019015.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019015/SRR019015.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019016	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2023_h1_r2b_2b	874346811	ab33931d4339e4b49d0800a53a411252	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019016/SRR019016.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019016/SRR019016.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019016/SRR019016.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019017	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2023_h1_r2b_3b	896435626	2aaf10871614ea7079ab237a96477faf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019017/SRR019017.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019017/SRR019017.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019017/SRR019017.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019018	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2023_h1_r2b_4b	872810726	06586b9ed2afd1233463f81a07591f27	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019018/SRR019018.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019018/SRR019018.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019018/SRR019018.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019019	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2023_h1_r2b_5b	872278332	517eb32a87783d6218fdf63deebc215e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019019/SRR019019.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019019/SRR019019.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019019/SRR019019.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019020	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2023_h1_r2b_6b	887487659	d284cbca6c07a6fb24758bce191d09fb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019020/SRR019020.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019020/SRR019020.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019020/SRR019020.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019021	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_2023_h1_r2b_7b	900983601	80fcd46964e191e9f3927f8fea04774b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019021/SRR019021.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019021/SRR019021.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019021/SRR019021.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019048	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_4004_h1_r2b_1b	1228385692	c798e55b5c05d239ecb51029b9950085	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019048/SRR019048.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019048/SRR019048.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019048/SRR019048.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019049	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_4004_h1_r2b_2b	1228983335	6989feab10da8ed48b13340d07974418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019049/SRR019049.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019049/SRR019049.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019049/SRR019049.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019050	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_4004_h1_r2b_3b	1226946233	256e34b92e22d35ede959e50c4fb3eb4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019050/SRR019050.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019050/SRR019050.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019050/SRR019050.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019051	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_4004_h1_r2b_4b	1215332754	c876856dde4d5b9f3b6e6759c3dcd700	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019051/SRR019051.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019051/SRR019051.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019051/SRR019051.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019052	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_4004_h1_r2b_5b	1184797980	a9113e4f10b4f73d73077663d72cea09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019052/SRR019052.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019052/SRR019052.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019052/SRR019052.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019053	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_4004_h1_r2b_6b	1211004551	05d4edc2182b9fee31f150d130a22fb8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019053/SRR019053.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019053/SRR019053.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019053/SRR019053.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006240	SRR019054	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2b	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2b	methylC-seq_4004_h1_r2b_7b	1218536256	aa3d2f902485ffd0549f28838755c5ef	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019054/SRR019054.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019054/SRR019054.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019054/SRR019054.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006241	SRR019055	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2c	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2c	methylC-seq_1060_h1_r2cb	170220487	5b90647c9f8c8292a52d03e7bf1c9e53	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019055/SRR019055.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019055/SRR019055.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019055/SRR019055.fastq.gz	H1_r2	Generic sample from Homo sapiens
PRJNA34535	SAMN00004462	SRS004213	SRX006241	SRR019071	ILLUMINA	Illumina Genome Analyzer II	methylC-seq_h1_r2c	SINGLE	Bisulfite-Seq	GENOMIC	RANDOM	Illumina Genome Analyzer II sequencing; Whole genome shotgun bisulfite sequencing of the H1 cell line	UCSD Human Reference Epigenome Mapping Project	methylC-seq_h1_r2c	methylC-seq_4002_h1_r2cb	135593915	ae69dddc7e6fc2f47febfcdd6ed69672	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019071/SRR019071.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR019/SRR019071/SRR019071.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR019/SRR019071/SRR019071.fastq.gz	H1_r2	Generic sample from Homo sapiens
