File accession	File format	Software used	Encyclopedia Version	Biosample term id	Biosample type	Tissue	Type	Age	Age	Age Units	Organism	Date	Project	md5sum	Assembly	File Status	Derived from	S3 URL	Size
ENCFF579ESV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR737KMI	candidate Cis-Regulatory Elements	ENCODE v4	"CD8-positive, alpha-beta T cell"	primary cell	adult	33	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	e9216d3706994592af61ceb6cb6c4a87	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/66ae765a-33d3-427b-971e-6070a6d72bd3/ENCFF579ESV.bed.gz	17935621
ENCFF366DPU	bed bed3+	candidate Cis-Regulatory Elements	ENCSR723VEU	candidate Cis-Regulatory Elements	ENCODE v4	HGPS cell	cell line	young adult	8	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	1260af6dac7d76275ef0a2fbd092d885	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/1fc0596a-cbe0-4a26-9905-d40a3a7f988c/ENCFF366DPU.bed.gz	17950949
ENCFF518QHP	bed bed3+	candidate Cis-Regulatory Elements	ENCSR739ORQ	candidate Cis-Regulatory Elements	ENCODE v4	large intestine	tissue	embryonic	91	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	aa46276a387fd2fb778897366c379652	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/8550fd96-087c-47ba-a6a8-c171717a4f3f/ENCFF518QHP.bed.gz	17992032
ENCFF963YNW	bed bed3+	candidate Cis-Regulatory Elements	ENCSR993SKV	candidate Cis-Regulatory Elements	ENCODE v4	GM12801	cell line	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	5d8a1ceaf93330a5d070e836807c046e	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/decfe307-b531-4a64-a9c6-6233c5e5b87c/ENCFF963YNW.bed.gz	17922656
ENCFF788XGC	bed bed3+	candidate Cis-Regulatory Elements	ENCSR355JNG	candidate Cis-Regulatory Elements	ENCODE v4	GM12891	cell line	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	4c35cf81a1a583dad9f4df9788ccfdee	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/999bcb49-b2f3-4bec-9b2f-918c3eb0573b/ENCFF788XGC.bed.gz	17917763
ENCFF450ZKT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR209KHM	candidate Cis-Regulatory Elements	ENCODE v4	MCF-7	cell line	adult	69	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	867015723a49695c84e0d08d3f83c3b1	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/87a3ace8-3046-4dcc-b219-f123efdd434c/ENCFF450ZKT.bed.gz	18068169
ENCFF095CMH	bed bed3+	candidate Cis-Regulatory Elements	ENCSR138GHM	candidate Cis-Regulatory Elements	ENCODE v4	muscle of back	tissue	embryonic	97	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	87cad84a807cc3fb8fbb0d393bc76d6f	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/87ccba9b-6afb-47c2-8e5c-823a1cb70f7f/ENCFF095CMH.bed.gz	17985834
ENCFF183SSO	bed bed3+	candidate Cis-Regulatory Elements	ENCSR828USP	candidate Cis-Regulatory Elements	ENCODE v4	thymus	tissue	embryonic	110	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	d2a477ffa1ab33e108b6c43899a7f2a5	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/cbbdbc7d-ea4f-4428-ae6f-9ccd301c144d/ENCFF183SSO.bed.gz	18033533
ENCFF871BGH	bed bed3+	candidate Cis-Regulatory Elements	ENCSR004LSQ	candidate Cis-Regulatory Elements	ENCODE v4	ectodermal cell	in vitro differentiated cells	embryonic			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	ac4cb8419d2b6fbbafe1c0a60624b1c1	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/309cd40f-2265-41b5-bc24-c6c66c41d44c/ENCFF871BGH.bed.gz	17951949
ENCFF458QAT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR806AHC	candidate Cis-Regulatory Elements	ENCODE v4	thymus	tissue	embryonic	110	day	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	ecf12c5a5e6b35910863a8c710017078	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/bba13b50-9206-4c31-b5ec-c1a67f057284/ENCFF458QAT.bed.gz	17892375
ENCFF323QHP	bed bed3+	candidate Cis-Regulatory Elements	ENCSR617JVN	candidate Cis-Regulatory Elements	ENCODE v4	"common myeloid progenitor, CD34-positive"	primary cell	adult	37	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	0d687aac8407034ff1cff6e3620b6613	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/236724ae-8f40-40ec-88df-daa56cb0df92/ENCFF323QHP.bed.gz	17978108
ENCFF249IGM	bed bed3+	candidate Cis-Regulatory Elements	ENCSR112RDE	candidate Cis-Regulatory Elements	ENCODE v4	embryonic facial prominence	tissue	embryonic	81	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	f4ba4cc0b26113ec54281fe7c9c10725	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/499f50f2-aed6-4785-820b-b8ac1f8fd346/ENCFF249IGM.bed.gz	17959292
ENCFF479LKG	bed bed3+	candidate Cis-Regulatory Elements	ENCSR851EVD	candidate Cis-Regulatory Elements	ENCODE v4	CD14-positive monocyte	primary cell	adult	34	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	38f510e3658c312d643a0eb83299bed2	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/98eb7d64-739d-492b-a75c-3c003c00fe78/ENCFF479LKG.bed.gz	17951222
ENCFF328BGT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR959QVW	candidate Cis-Regulatory Elements	ENCODE v4	iPS-20b	cell line	adult	55	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	1adf2946f3cdcb263b04d8d1113bddfe	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/b3d65554-036e-447d-a0d6-b191a1e6d1fb/ENCFF328BGT.bed.gz	17926815
ENCFF166QIT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR779JRQ	candidate Cis-Regulatory Elements	ENCODE v4	glomerular visceral epithelial cell	primary cell	young adult	3	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	2e3c0fd9cabd0fa8e43b203a1bb6e84b	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/30be80e6-643f-4a57-84af-b5acb4b3f16a/ENCFF166QIT.bed.gz	18021544
ENCFF330BNE	bed bed3+	candidate Cis-Regulatory Elements	ENCSR802YKB	candidate Cis-Regulatory Elements	ENCODE v4	small intestine	tissue	embryonic	108	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	278ebe85af4e9b878b2ab15f4ebffad7	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/149381cb-dfdb-4d18-9fd5-fa2874c5403c/ENCFF330BNE.bed.gz	18072606
ENCFF805HAX	bed bed3+	candidate Cis-Regulatory Elements	ENCSR118AEG	candidate Cis-Regulatory Elements	ENCODE v4	GM12865	cell line	unknown			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	bf9c1d32d7070c54d37c7c89d47daf52	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/f6e9eb48-2523-4d65-ac4c-2bc925976cfc/ENCFF805HAX.bed.gz	17912171
ENCFF407UDR	bed bed3+	candidate Cis-Regulatory Elements	ENCSR206FTR	candidate Cis-Regulatory Elements	ENCODE v4	SK-N-MC	cell line	young adult	14	year	Homo sapiens	8/30/17	"Zhiping Weng, UMass"	76ab5a0635e48e21a46259a4900c782f	hg19	released	ENCFF621SFC	https://encode-public.s3.amazonaws.com/2017/08/21/a3a049d4-7ea0-47f9-bff5-a1a9c115f332/ENCFF407UDR.bed.gz	17921498
ENCFF483JUF	bed bed3+	candidate Cis-Regulatory Elements	ENCSR718TFN	candidate Cis-Regulatory Elements	ENCODE v4	right kidney	tissue	embryonic	87	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	2a098fbf65e8b7baea1ef395ab646e1c	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/d90adf2a-2fd5-4f1d-a341-a2efecf21e48/ENCFF483JUF.bed.gz	18001078
ENCFF708IEW	bed bed3+	candidate Cis-Regulatory Elements	ENCSR507SXD	candidate Cis-Regulatory Elements	ENCODE v4	epithelial cell of proximal tubule	primary cell	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	8e5a6e3049d4f40355f425681b8968da	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/a8825350-5906-4454-bd5e-5b7b92af237b/ENCFF708IEW.bed.gz	17866148
ENCFF506WWR	bed bed3+	candidate Cis-Regulatory Elements	ENCSR003YUQ	candidate Cis-Regulatory Elements	ENCODE v4	small intestine	tissue	embryonic	108	day	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	a61ea96c202c0d84415f6e1c060114ef	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/d4df4cbd-f327-40e0-9dac-9b82273a5e7f/ENCFF506WWR.bed.gz	17898326
ENCFF751WVS	bed bed3+	candidate Cis-Regulatory Elements	ENCSR298EHW	candidate Cis-Regulatory Elements	ENCODE v4	small intestine	tissue	embryonic	105	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	37879acbd04a5c0552a3c6d9b745bfec	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/0776eb98-b7d1-4a74-9f92-e27070c494f5/ENCFF751WVS.bed.gz	17982565
ENCFF680CQF	bed bed3+	candidate Cis-Regulatory Elements	ENCSR709VPM	candidate Cis-Regulatory Elements	ENCODE v4	large intestine	tissue	embryonic	120	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	35d7bf4c43cdfdc0950bf0b052371971	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/222b220f-0e94-49bd-ab83-5b081ab752eb/ENCFF680CQF.bed.gz	17997513
ENCFF323DPV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR001XWT	candidate Cis-Regulatory Elements	ENCODE v4	muscle of back	tissue	embryonic	91	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	c7c4b8ed7383b8a16716e547059cac12	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/34e25e45-9046-4400-bcb1-7e4eefd0c41f/ENCFF323DPV.bed.gz	18022135
ENCFF076PWC	bed bed3+	candidate Cis-Regulatory Elements	ENCSR989QAR	candidate Cis-Regulatory Elements	ENCODE v4	epithelial cell of esophagus	primary cell	unknown			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	243415ac5b867c911e1b1713d9223593	hg19	released	ENCFF939SVL	https://encode-public.s3.amazonaws.com/2017/08/21/ff273432-ceb4-43b2-9ea9-471b4b2028c8/ENCFF076PWC.bed.gz	17951299
ENCFF178GTK	bed bed3+	candidate Cis-Regulatory Elements	ENCSR223VUF	candidate Cis-Regulatory Elements	ENCODE v4	lung	tissue	embryonic	80	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	aa688d614cea83225990e3139d613672	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/6c644967-0647-4f5c-87c6-c9561739c035/ENCFF178GTK.bed.gz	18010281
ENCFF738YMZ	bed bed3+	candidate Cis-Regulatory Elements	ENCSR216FTQ	candidate Cis-Regulatory Elements	ENCODE v4	WERI-Rb-1	cell line	young adult	1	year	Homo sapiens	8/31/17	"Zhiping Weng, UMass"	c629a57ad8b14a358566a487dd0e8be8	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/0b91dad6-276a-47aa-9581-54306999c9ed/ENCFF738YMZ.bed.gz	18008989
ENCFF487YOF	bed bed3+	candidate Cis-Regulatory Elements	ENCSR559JNI	candidate Cis-Regulatory Elements	ENCODE v4	stomach	tissue	embryonic	147	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	6b531bbc36cb6519a4177cd2d6ed12a3	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/2afe9724-1d82-4802-a318-c8d5a25e3dc1/ENCFF487YOF.bed.gz	17967672
ENCFF674DSB	bed bed3+	candidate Cis-Regulatory Elements	ENCSR225MDP	candidate Cis-Regulatory Elements	ENCODE v4	left kidney	tissue	embryonic	147	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	914a0bfab04b88533e804af26589d5f8	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/f246119c-6ad3-4a2a-9512-a6402dfc2128/ENCFF674DSB.bed.gz	17982578
ENCFF481NZV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR696VBT	candidate Cis-Regulatory Elements	ENCODE v4	muscle of leg	tissue	embryonic	101	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	3c5b5cad654d0c865444cf03ef0cf7ad	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/8e66f6c9-3dff-4545-9238-f1291f08d554/ENCFF481NZV.bed.gz	18006791
ENCFF049KRH	bed bed3+	candidate Cis-Regulatory Elements	ENCSR010WUV	candidate Cis-Regulatory Elements	ENCODE v4	kidney epithelial cell	primary cell	unknown			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	cebc3b3d3ddb77b905f64e86e5c2b138	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/21/b7b97333-835e-4f38-aa06-df2018c57722/ENCFF049KRH.bed.gz	17891433
ENCFF317DRV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR819UFM	candidate Cis-Regulatory Elements	ENCODE v4	gastrocnemius medialis	tissue	adult	54	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	613a0f9fd2281c24d5a29717b0968df0	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/011d7ecf-6685-4a42-8e19-d1546ba24bf4/ENCFF317DRV.bed.gz	17926447
ENCFF839YJV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR018GFF	candidate Cis-Regulatory Elements	ENCODE v4	cardiac fibroblast	primary cell	unknown			Homo sapiens	9/12/17	"Zhiping Weng, UMass"	f8c1c4b2e3124378b2a3930a6840109c	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/b1cdc752-1871-4af4-a09b-e707e072e208/ENCFF839YJV.bed.gz	17915849
ENCFF058DMA	bed bed3+	candidate Cis-Regulatory Elements	ENCSR110PSX	candidate Cis-Regulatory Elements	ENCODE v4	muscle of leg	tissue	embryonic	115	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	e9ee029c04e3ceb949db484c283d6053	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/4551b150-d7a7-4ad2-b99b-b7195a1e66d9/ENCFF058DMA.bed.gz	17988653
ENCFF251BZF	bed bed3+	candidate Cis-Regulatory Elements	ENCSR501TGZ	candidate Cis-Regulatory Elements	ENCODE v4	spinal cord	tissue	embryonic	113	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	4446e8d3f73f852bacc892415ef7a8f0	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/9b862fe2-fdcc-4701-85a9-29335333946c/ENCFF251BZF.bed.gz	18030372
ENCFF698KGM	bed bed3+	candidate Cis-Regulatory Elements	ENCSR646SVO	candidate Cis-Regulatory Elements	ENCODE v4	HT1080	cell line	adult	35	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	0921172b1b93614c89948604f1946ae5	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/10b9b045-cf0e-4b18-8109-1d49cd4f23de/ENCFF698KGM.bed.gz	17995072
ENCFF716AFH	bed bed3+	candidate Cis-Regulatory Elements	ENCSR854ZKZ	candidate Cis-Regulatory Elements	ENCODE v4	thyroid gland	tissue	adult	37	year	Homo sapiens	8/31/17	"Zhiping Weng, UMass"	a22766dcce39d59c6d3b6065f8deaa8d	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/86fdfe42-a12b-4d0d-bd83-c52328180ff7/ENCFF716AFH.bed.gz	17917595
ENCFF505QUC	bed bed3+	candidate Cis-Regulatory Elements	ENCSR429PYV	candidate Cis-Regulatory Elements	ENCODE v4	mammary epithelial cell	primary cell	unknown			Homo sapiens	8/30/17	"Zhiping Weng, UMass"	e9cb8ecc68f382d9172596e73a87195b	hg19	released	ENCFF621SFC	https://encode-public.s3.amazonaws.com/2017/08/21/f3ed4e14-f289-41cc-b032-f7db53db144e/ENCFF505QUC.bed.gz	17928963
ENCFF572ONP	bed bed3+	candidate Cis-Regulatory Elements	ENCSR640BHN	candidate Cis-Regulatory Elements	ENCODE v4	hematopoietic multipotent progenitor cell	in vitro differentiated cells	adult	25	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	8c8d0050b71eeee67d8b58a03f58c11c	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/dccffec9-2d37-4f35-9513-77b29c85e60d/ENCFF572ONP.bed.gz	18005062
ENCFF444XWL	bed bed3+	candidate Cis-Regulatory Elements	ENCSR500MKC	candidate Cis-Regulatory Elements	ENCODE v4	right cardiac atrium	tissue	adult	34	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	11495929f6eada6d3d6ca4b47e07475a	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/07/10/2b9f18bd-f15b-4efb-a7ba-1c5881022507/ENCFF444XWL.bed.gz	17909961
ENCFF557BKY	bed bed3+	candidate Cis-Regulatory Elements	ENCSR627BGH	candidate Cis-Regulatory Elements	ENCODE v4	right cardiac atrium	tissue	adult	34	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	33a575ffa0d7e782e30c5250f1ee3a2b	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/fd2d0882-676a-4a3d-9faa-07a44b10d843/ENCFF557BKY.bed.gz	17990995
ENCFF450YHV	bed bed3+	candidate Cis-Regulatory Elements	ENCSR615HHV	candidate Cis-Regulatory Elements	ENCODE v4	vagina	tissue	adult	53	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	e14c34f7f932ecf14276e828d46fd135	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/07/10/e5a26c2a-f4b6-4d69-9edf-62646486d4e5/ENCFF450YHV.bed.gz	17904464
ENCFF137ROK	bed bed3+	candidate Cis-Regulatory Elements	ENCSR111DQA	candidate Cis-Regulatory Elements	ENCODE v4	endocrine pancreas	tissue	adult	45	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	11ee5a5e1ef27a83e3ca4c259a267395	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/76031bf2-28eb-4469-8a8d-481ad6c572ca/ENCFF137ROK.bed.gz	17982943
ENCFF683KSB	bed bed3+	candidate Cis-Regulatory Elements	ENCSR983KXT	candidate Cis-Regulatory Elements	ENCODE v4	small intestine	tissue	embryonic	91	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	69b6c6878ea0513d03b38acf65a5e325	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/c80a42f9-fdd8-4019-9fb2-c877f5ec4008/ENCFF683KSB.bed.gz	18004550
ENCFF736LZJ	bed bed3+	candidate Cis-Regulatory Elements	ENCSR051KAB	candidate Cis-Regulatory Elements	ENCODE v4	superior temporal gyrus	tissue	adult	84	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	b82af29872973fb4d03044f44c810991	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/07/10/0a61beb9-e4f8-460c-b53e-f103c3475727/ENCFF736LZJ.bed.gz	17983489
ENCFF422MDT	bed bed3+	candidate Cis-Regulatory Elements	ENCSR902JES	candidate Cis-Regulatory Elements	ENCODE v4	muscle of leg	tissue	embryonic	96	day	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	eeea6a22f5b7008a6952e7f439ce4a43	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/3f5bd0ec-b68c-477e-aaa1-06f42a5a6d9a/ENCFF422MDT.bed.gz	18011336
ENCFF299BEE	bed bed3+	candidate Cis-Regulatory Elements	ENCSR898IJI	candidate Cis-Regulatory Elements	ENCODE v4	GM06990	cell line	unknown			Homo sapiens	8/31/17	"Zhiping Weng, UMass"	74c6c442d2c6268db71703a38795ae71	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/a67862f5-6fe6-412b-9ce2-85aaee2df272/ENCFF299BEE.bed.gz	17969972
ENCFF274OGC	bed bed3+	candidate Cis-Regulatory Elements	ENCSR208BKH	candidate Cis-Regulatory Elements	ENCODE v4	"common myeloid progenitor, CD34-positive"	primary cell	adult	43	year	Homo sapiens	9/12/17	"Zhiping Weng, UMass"	49420e35f3d29062791cd4dfd90b0fe7	hg19	released	ENCFF788SJC	https://encode-public.s3.amazonaws.com/2017/08/21/d3bd4943-038f-4aa8-adbc-0209e08c4004/ENCFF274OGC.bed.gz	18001600
ENCFF358XNA	bed bed3+	candidate Cis-Regulatory Elements	ENCSR816GRL	candidate Cis-Regulatory Elements	ENCODE v4	DOHH2	cell line	adult	60	year	Homo sapiens	8/29/17	"Zhiping Weng, UMass"	1a22e458c16ffaa4c1a201f8f005b2b6	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/07/10/41ffc8ae-dc98-417b-acff-e3da9ad0ad3d/ENCFF358XNA.bed.gz	17917150
ENCFF818WLA	bed bed3+	candidate Cis-Regulatory Elements	ENCSR194EJB	candidate Cis-Regulatory Elements	ENCODE v4	CD4-positive helper T cell	primary cell	unknown			Homo sapiens	8/29/17	"Zhiping Weng, UMass"	5e6e12ae788095cd4e03b2002f28d8af	hg19	released	ENCFF970QXN	https://encode-public.s3.amazonaws.com/2017/08/25/1c066252-4bdf-4063-a5ec-fd2b8b8dc740/ENCFF818WLA.bed.gz	17908456
